# fault No. , centroid(lon,lat,z[km]) , node1(lon,lat,z[km]) , node2(lon,lat,z[km]) , node3(lon,lat,z[km]) , mean vertex length(km) , area(km^2) , strike(deg) , dip(deg)
38.0,141.96763509743107,43.21127812961018,-10.313882301768293,141.9521966924986,43.20760796044468,-9.070755495713456,141.9741886785355,43.19786283523089,-11.53750065574877,141.9765199212591,43.22836359315497,-10.33339075384265,5.0,4892422.966937045,26.910216182363477,42.73891594592297
39.0,141.91168448336524,43.218080806075676,-1.5920813865504897,141.9064091750855,43.2037157902756,-2.331984883790028,141.9246718344726,43.2289340826754,-2.443507376033267,141.9039724405376,43.22159254527602,-0.0007518998281739186,5.0,4171939.50088674,34.836350842566326,59.79396296550806
40.0,141.89892914822917,43.207394584003,-0.777578927872734,141.8864058290644,43.19687541645738,0.0,141.9064091750855,43.2037157902756,-2.331984883790028,141.9039724405376,43.22159254527602,-0.0007518998281739186,5.0,3982579.816680734,35.394115581349446,59.5320987966312
41.0,141.91673252516486,43.23227787071124,-0.8147530919538136,141.9039724405376,43.22159254527602,-0.0007518998281739186,141.9246718344726,43.2289340826754,-2.443507376033267,141.9215533004844,43.24630698418231,0.0,5.0,4154449.1746494467,35.43385206422866,60.159057837322436
42.0,141.93767383240956,43.19920655955938,-7.65934010636435,141.9521966924986,43.20760796044468,-9.070755495713456,141.9328209240292,43.20625915707821,-6.166174082127327,141.9280038807009,43.18375256115525,-7.741090741252265,5.0,4590598.654427402,33.40057863331142,59.438418209771996
43.0,141.95245587041512,43.24238925999734,-6.17038325594937,141.9421579254645,43.23159141856414,-4.932342310509739,141.9598260732455,43.2333663685483,-7.555019410773639,141.9553836125354,43.26220999287958,-6.023788046564732,5.0,4977294.99743764,11.119857637107112,54.242109391165556
44.0,141.91817028298576,43.2151545540097,-2.9270325785325135,141.9064091750855,43.2037157902756,-2.331984883790028,141.9234298393991,43.21281378907809,-4.005605475774246,141.9246718344726,43.2289340826754,-2.443507376033267,5.0,2827753.5952106486,34.83556046374102,59.775653339457065
45.0,141.92279019447793,43.202416434771614,-4.999958737470782,141.9328209240292,43.20625915707821,-6.166174082127327,141.9234298393991,43.21281378907809,-4.005605475774246,141.9121198200055,43.18817635815856,-4.828096654510773,5.0,3265565.303605519,33.91088223446945,59.5027102189975
46.0,141.93008653311207,43.22444643010588,-3.793818387439084,141.9246718344726,43.2289340826754,-2.443507376033267,141.9234298393991,43.21281378907809,-4.005605475774246,141.9421579254645,43.23159141856414,-4.932342310509739,5.0,3024375.5157203143,34.48150748616264,60.03899854802383
47.0,141.9328028962976,43.21688812157348,-5.034707289470437,141.9421579254645,43.23159141856414,-4.932342310509739,141.9234298393991,43.21281378907809,-4.005605475774246,141.9328209240292,43.20625915707821,-6.166174082127327,5.0,3192610.2001753114,34.25080018583167,59.50054953501123
48.0,141.90382304799232,43.14745137654111,-6.264680430793305,141.9106293376935,43.16329837136614,-6.294535886670019,141.8926000328154,43.14124397700344,-4.857189023463434,141.908239773468,43.13781178125377,-7.642316382246463,5.0,4268939.157358139,22.68251738505492,57.84629820065934
49.0,141.91691767946665,43.17840909689331,-6.287907760811019,141.9280038807009,43.18375256115525,-7.741090741252265,141.9121198200055,43.18817635815856,-4.828096654510773,141.9106293376935,43.16329837136614,-6.294535886670019,5.0,4239550.28332964,22.72499269099874,58.02992999514542
50.0,141.88230917357336,43.14236087284115,-3.1396977948418985,141.8926000328154,43.14124397700344,-4.857189023463434,141.8826343023533,43.15452049892384,-2.318905256268408,141.8716931855514,43.13131814259616,-2.242999104793853,5.0,3893822.3344638976,24.274918981024594,57.51420598913244
51.0,141.87453875418717,43.1577339523486,-0.7731903154187116,141.8651889281277,43.14682877323192,-9.094947017729282e-13,141.8826343023533,43.15452049892384,-2.318905256268408,141.8757930320805,43.17185258489005,-0.000665689986817597,5.0,3734751.055191859,22.957408196763232,57.95081407970735
52.0,141.89695188910264,43.13199775109643,-6.267930566643675,141.8926000328154,43.14124397700344,-4.857189023463434,141.8900158610245,43.11693749503208,-6.304286294221129,141.908239773468,43.13781178125377,-7.642316382246463,5.0,4085649.977137,25.43212564785355,58.10189982626271
53.0,141.90368460848026,43.19044020249634,-3.1259184182784643,141.9121198200055,43.18817635815856,-4.828096654510773,141.9064091750855,43.2037157902756,-2.331984883790028,141.8925248303498,43.17942845905487,-2.217673716534591,5.0,4058834.754312789,28.5875266341333,61.00008636518362
54.0,141.9148440030524,43.15333733790889,-7.663905608412885,141.9256628979956,43.15890186110676,-9.054864556322173,141.9106293376935,43.16329837136614,-6.294535886670019,141.908239773468,43.13781178125377,-7.642316382246463,5.0,4141277.2473465553,22.630339769494256,57.92172985696923
55.0,141.90117608994288,43.12261965685379,-7.667576913921948,141.908239773468,43.13781178125377,-7.642316382246463,141.8900158610245,43.11693749503208,-6.304286294221129,141.9052726353361,43.11310969427553,-9.056128065298253,5.0,4075340.7575464263,25.42056028780497,58.08343323068055
56.0,141.8849078971649,43.18271882013409,-0.7394464688404696,141.8757930320805,43.17185258489005,-0.000665689986817597,141.8925248303498,43.17942845905487,-2.217673716534591,141.8864058290644,43.19687541645738,0.0,5.0,3568965.7705806857,22.99086891918737,58.04525189687591
57.0,141.88365072159453,43.16860051428958,-1.5124148875966057,141.8757930320805,43.17185258489005,-0.000665689986817597,141.8826343023533,43.15452049892384,-2.318905256268408,141.8925248303498,43.17942845905487,-2.217673716534591,5.0,3601096.5236282223,22.874708329926825,57.98871109014652
58.0,141.92143203879667,43.168650931209385,-7.696830394748152,141.9256628979956,43.15890186110676,-9.054864556322173,141.9280038807009,43.18375256115525,-7.741090741252265,141.9106293376935,43.16329837136614,-6.294535886670019,5.0,4038171.223457917,22.649037547890153,57.922664448316695
59.0,141.89511327816658,43.19333988859595,-1.516552866774873,141.8925248303498,43.17942845905487,-2.217673716534591,141.9064091750855,43.2037157902756,-2.331984883790028,141.8864058290644,43.19687541645738,0.0,5.0,3771568.796432806,28.312920173557895,55.603384476950225
60.0,141.93314202828677,43.17384766666324,-9.076283909241283,141.9256628979956,43.15890186110676,-9.054864556322173,141.9457593061638,43.1788885777277,-10.43289643014941,141.9280038807009,43.18375256115525,-7.741090741252265,5.0,4112346.6380703454,26.09078117194871,53.252710653169274
61.0,141.90068640014317,43.17722296058918,-3.7083149920711853,141.8925248303498,43.17942845905487,-2.217673716534591,141.8974145500742,43.1640640645541,-4.079174605168191,141.9121198200055,43.18817635815856,-4.828096654510773,5.0,3625243.3345003757,22.805982144323956,58.0094177310705
62.0,141.90672123592438,43.17184626469293,-5.067269048782994,141.9121198200055,43.18817635815856,-4.828096654510773,141.8974145500742,43.1640640645541,-4.079174605168191,141.9106293376935,43.16329837136614,-6.294535886670019,5.0,3472177.2231443464,22.786435783912374,57.95118834419417
63.0,141.92431487491186,43.192729358797344,-6.245120492630122,141.9280038807009,43.18375256115525,-7.741090741252265,141.9328209240292,43.20625915707821,-6.166174082127327,141.9121198200055,43.18817635815856,-4.828096654510773,5.0,4003156.235691229,33.679987064686124,59.12628162570487
64.0,141.88634459815702,43.12486248271845,-5.104845569329882,141.8926000328154,43.14124397700344,-4.857189023463434,141.8764179006312,43.11640597611983,-4.153061390305083,141.8900158610245,43.11693749503208,-6.304286294221129,5.0,3456159.6067476524,25.437859670326702,58.09458101009765
65.0,141.90021464019435,43.15620213764123,-5.076966505100548,141.9106293376935,43.16329837136614,-6.294535886670019,141.8974145500742,43.1640640645541,-4.079174605168191,141.8926000328154,43.14124397700344,-4.857189023463434,5.0,3212536.134127236,22.74769374189616,57.94503429527726
